# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       8.458487400114e+13       1.056453564286e-25       5.478796083480e-09       1.543638019293e+22       1.294251882443e+04       1.530122137943e-10       1.094741324022e+18       3.163636757046e-09       1.408477451704e+44       9.598943464828e+32       1.099650843545e+34       3.236176255929e-08       9.743408827823e+43       2.382818334606e+44       1.436962031597e-06       5.973190064845e+00 
       8.399689573103e+13       1.071295680410e-25       5.518813850358e-09       1.522251902317e+22       1.294251882443e+04       1.540832992908e-10       1.087131404192e+18       3.185782214346e-09       1.369720691902e+44       9.400155159419e+32       1.076877740596e+34       3.236176255929e-08       9.475301620897e+43       2.317250854109e+44       1.496835449580e-06       5.734262462251e+00 
       8.341300469814e+13       1.086346313424e-25       5.557012627833e-09       1.501162076308e+22       1.294251882443e+04       1.551618823859e-10       1.079574383508e+18       3.208082689846e-09       1.332030393213e+44       9.205483639415e+32       1.054576254816e+34       3.236176255929e-08       9.214571860169e+43       2.253487579344e+44       1.556708867563e-06       5.513713906010e+00 
       8.283317249071e+13       1.101608392781e-25       5.595211405307e-09       1.480364436342e+22       1.294251882443e+04       1.562480155626e-10       1.072069894248e+18       3.230539268675e-09       1.295377210063e+44       9.014843648685e+32       1.032736619299e+34       3.236176255929e-08       8.961016542097e+43       2.191478864385e+44       1.616582285546e-06       5.309502279862e+00 
       8.225737089444e+13       1.117084889092e-25       5.635229172185e-09       1.459854934369e+22       1.294251882443e+04       1.573417516715e-10       1.064617571249e+18       3.253153043555e-09       1.259732604377e+44       8.828151696699e+32       1.011349269406e+34       3.236176255929e-08       8.714438249143e+43       2.131176429401e+44       1.676455703529e-06       5.119877198438e+00 
       8.168557189121e+13       1.132778814698e-25       5.673427949660e-09       1.439629578422e+22       1.294251882443e+04       1.584431439332e-10       1.057217051886e+18       3.275925114860e-09       1.225068823353e+44       8.645326021966e+32       9.904048385756e+33       3.236176255929e-08       8.474644996063e+43       2.072533323068e+44       1.736329121513e-06       4.943329708836e+00 
       8.111774765760e+13       1.148693224266e-25       5.713445716538e-09       1.419684431839e+22       1.294251882443e+04       1.595522459408e-10       1.049867976054e+18       3.298856590664e-09       1.191358877859e+44       8.466286556225e+32       9.698941542226e+33       3.236176255929e-08       8.241450080431e+43       2.015503886007e+44       1.796202539496e-06       4.778552051875e+00 
       8.055387056366e+13       1.164831215374e-25       5.753463483416e-09       1.400015612500e+22       1.294251882443e+04       1.606691116623e-10       1.042569986150e+18       3.321948586798e-09       1.158576521413e+44       8.290954889382e+32       9.498082337199e+33       3.236176255929e-08       8.014671937264e+43       1.960043715243e+44       1.856075957479e-06       4.624405211492e+00 
       7.999391317146e+13       1.181195929118e-25       5.793481250294e-09       1.380619292066e+22       1.294251882443e+04       1.617937954440e-10       1.035322727061e+18       3.345202226906e-09       1.126696229756e+44       8.119254235166e+32       9.301382804655e+33       3.236176255929e-08       7.794133997669e+43       1.906109629624e+44       1.915949375462e-06       4.479892548633e+00 
       7.943784823382e+13       1.197790550726e-25       5.835318006575e-09       1.361491695239e+22       1.294251882443e+04       1.629263520121e-10       1.028125846138e+18       3.368618642494e-09       1.095693180972e+44       7.951109397507e+32       9.108756800295e+33       3.236176255929e-08       7.579664551354e+43       1.853659636206e+44       1.975822793445e-06       4.344138228977e+00 
