[ 0.  0.  0.]
[  327.          2956.00195312   249.5059967 ]
[  328.          3397.81005859   246.72799683]
[  329.          3416.06201172   243.9750061 ]
[  330.          2991.47998047   241.24299622]
[  331.          3113.19995117   238.53700256]
[  332.          2968.98388672   235.85400391]
[  333.          2717.19995117   233.19599915]
[  334.          2791.52709961   230.56500244]
[  335.          2787.23706055   227.95899963]
[  336.          3046.58203125   225.3809967 ]
[  337.          2762.74389648   222.83000183]
[  338.          2953.02807617   220.30499268]
[  339.          2729.40698242   217.80900574]
[  340.          2823.21508789   215.34100342]
[  341.          2806.65405273   212.9019928 ]
[  342.          2868.62304688   210.49200439]
[  343.          2485.55102539   208.11099243]
[  344.          2619.61303711   205.75900269]
[  345.          2363.61108398   203.43800354]
[  346.          2514.28808594   201.14700317]
[  347.          2349.3059082    198.88699341]
[  348.          2472.77709961   196.65800476]
[  349.          2412.18994141   194.46000671]
[  350.          2401.69506836   192.29400635]
[  351.          2851.78393555   190.16099548]
[  352.          2360.28808594   188.05999756]
[  353.          2784.25488281   185.99099731]
[  354.          2666.07104492   183.95599365]
[  355.          2319.53710938   181.95399475]
[  356.          2093.69897461   179.98500061]
[  357.          2352.68798828   178.05000305]
[  358.         2278.9909668   176.147995 ]
[  359.          2066.90405273   174.27999878]
[  360.          2314.66992188   172.44599915]
[  361.          2442.07397461   170.64500427]
[  362.          2223.05004883   168.8789978 ]
[  363.          2147.45288086   167.14700317]
[  364.          2692.40307617   165.44999695]
[  365.          1952.66699219   163.78599548]
[  366.          1845.08996582   162.15800476]
[  367.          2114.13891602   160.56399536]
[  368.          2011.78503418   159.00500488]
[  369.          2225.08691406   157.48199463]
[  370.          1969.86401367   155.99299622]
[  371.          2234.1809082    154.53900146]
[  372.          1959.00695801   153.11999512]
[  373.          2127.9909668    151.73699951]
[  374.          1977.2130127    150.38800049]
[  375.          2118.96508789   149.07299805]
[  376.          1991.36096191   147.79400635]
[  377.          1783.70703125   146.54899597]
[  378.          2197.56591797   145.33799744]
[  379.          2459.67089844   144.16200256]
[  380.          1776.0760498    143.02000427]
[  381.          1884.27600098   141.91299438]
[  382.          1601.96594238   140.83900452]
[  383.          1976.89794922   139.80000305]
[  384.          2004.40197754   138.79499817]
[  385.          1615.07299805   137.82400513]
[  386.          1706.13098145   136.88699341]
[  387.          2003.19995117   135.98300171]
[  388.          1800.14196777   135.11399841]
[  389.          1666.22802734   134.2769928 ]
[  390.          1901.96203613   133.47399902]
[  391.          1718.63500977   132.70300293]
[  392.          1943.76794434   131.96400452]
[  393.          1759.4699707    131.25799561]
[  394.          1886.3840332    130.58299255]
[  395.          1674.20300293   129.94099426]
[  396.          1740.25         129.32899475]
[  397.          1776.57397461   128.7480011 ]
[  398.          1659.47497559   128.19700623]
[  399.          1853.40795898   127.6780014 ]
[  400.          1749.67700195   127.18800354]
[  401.          1800.62902832   126.72799683]
[  402.          1893.63598633   126.29699707]
[  403.          1514.4029541    125.89499664]
[  404.          1580.18994141   125.52300262]
[  405.          1742.81994629   125.17900085]
[  406.          1867.91699219   124.86199951]
[  407.          1802.94396973   124.5739975 ]
[  408.          1735.89794922   124.31199646]
[  409.          1692.56994629   124.07700348]
